Animal,Symptom 2,Temperature,Symptom 3,Age,Symptom 1,Disease
goat,painless lumps,104.4,depression,9.0,loss of appetite,pneumonia
cow,chest discomfort,104.3,sweats,5.0,shortness of breath,anthrax
buffalo,chest discomfort,101.1,chills,4.0,swelling in neck,anthrax
sheep,shortness of breath,102.9,chills,7.0,chest discomfort,anthrax
buffalo,loss of appetite,100.1,swelling in limb,8.0,crackling sound,blackleg
cow,depression,102.3,painless lumps,12.0,loss of appetite,lumpy virus
goat,loss of appetite,103.8,depression,5.0,swelling in muscle,blackleg
cow,swelling in muscle,102.0,crackling sound,2.0,depression,blackleg
cow,swelling in muscle,104.3,lameness,1.0,depression,blackleg
buffalo,depression,101.2,painless lumps,4.0,loss of appetite,pneumonia
buffalo,sores on mouth,103.3,lameness,11.0,loss of appetite,foot and mouth
goat,depression,100.8,painless lumps,4.0,loss of appetite,pneumonia
sheep,swelling in limb,101.1,depression,5.0,loss of appetite,blackleg
buffalo,sores on gums,100.3,loss of appetite,9.0,difficulty walking,foot and mouth
goat,swelling in abdomen,103.5,shortness of breath,2.0,sweats,anthrax
goat,difficulty walking,102.4,depression,4.0,swelling in muscle,blackleg
cow,loss of appetite,102.8,lameness,3.0,depression,blackleg
cow,sores on hooves,102.3,loss of appetite,15.0,difficulty walking,foot and mouth
sheep,shortness of breath,100.2,fatigue,7.0,swelling in neck,anthrax
buffalo,loss of appetite,100.4,depression,13.0,painless lumps,pneumonia
goat,painless lumps,103.6,loss of appetite,4.0,depression,lumpy virus
cow,depression,102.9,loss of appetite,12.0,painless lumps,pneumonia
cow,chest discomfort,102.2,chills,10.0,fatigue,anthrax
goat,loss of appetite,100.8,painless lumps,1.0,depression,lumpy virus
goat,chills,104.8,shortness of breath,5.0,chest discomfort,anthrax
goat,loss of appetite,104.9,depression,4.0,painless lumps,lumpy virus
sheep,painless lumps,104.1,loss of appetite,8.0,depression,lumpy virus
goat,loss of appetite,101.7,depression,4.0,painless lumps,pneumonia
buffalo,swelling in neck,101.4,sweats,2.0,fatigue,anthrax
goat,loss of appetite,102.6,painless lumps,2.0,depression,pneumonia
cow,swelling in neck,101.4,fatigue,6.0,sweats,anthrax
sheep,depression,104.1,lameness,2.0,swelling in limb,blackleg
buffalo,chills,103.0,shortness of breath,7.0,fatigue,anthrax
sheep,fatigue,103.8,sweats,10.0,shortness of breath,anthrax
buffalo,blisters on gums,101.8,difficulty walking,12.0,loss of appetite,foot and mouth
cow,swelling in muscle,102.2,depression,6.0,difficulty walking,blackleg
sheep,sores on gums,102.9,loss of appetite,9.0,lameness,foot and mouth
buffalo,depression,101.6,painless lumps,12.0,loss of appetite,pneumonia
buffalo,loss of appetite,102.7,sores on mouth,11.0,lameness,foot and mouth
goat,sweats,100.6,chest discomfort,9.0,shortness of breath,anthrax
goat,difficulty walking,101.4,depression,3.0,crackling sound,blackleg
buffalo,swelling in limb,102.4,loss of appetite,8.0,crackling sound,blackleg
buffalo,swelling in limb,100.9,lameness,5.0,loss of appetite,blackleg
sheep,difficulty walking,101.2,depression,9.0,crackling sound,blackleg
goat,shortness of breath,101.6,swelling in abdomen,2.0,fatigue,anthrax
buffalo,swelling in neck,102.9,fatigue,9.0,chills,anthrax
sheep,painless lumps,100.5,loss of appetite,3.0,depression,lumpy virus
goat,crackling sound,104.5,loss of appetite,7.0,depression,blackleg
cow,crackling sound,104.0,swelling in muscle,10.0,loss of appetite,blackleg
buffalo,shortness of breath,102.3,swelling in abdomen,11.0,chest discomfort,anthrax
goat,fatigue,101.8,sweats,4.0,chills,anthrax
cow,lameness,100.8,blisters on mouth,12.0,loss of appetite,foot and mouth
cow,loss of appetite,100.3,sores on tongue,11.0,lameness,foot and mouth
sheep,loss of appetite,103.5,difficulty walking,4.0,blisters on mouth,foot and mouth
buffalo,chills,102.9,chest discomfort,5.0,sweats,anthrax
buffalo,loss of appetite,102.4,lameness,2.0,blisters on tongue,foot and mouth
sheep,chills,102.4,swelling in neck,7.0,fatigue,anthrax
cow,swelling in limb,100.0,depression,10.0,loss of appetite,blackleg
cow,lameness,102.3,crackling sound,6.0,loss of appetite,blackleg
sheep,loss of appetite,102.9,depression,7.0,painless lumps,lumpy virus
cow,painless lumps,102.2,loss of appetite,14.0,depression,pneumonia
sheep,sweats,102.6,swelling in neck,2.0,chest discomfort,anthrax
cow,loss of appetite,100.8,painless lumps,13.0,depression,lumpy virus
sheep,painless lumps,103.2,depression,1.0,loss of appetite,lumpy virus
goat,crackling sound,102.2,swelling in limb,4.0,depression,blackleg
cow,painless lumps,100.6,depression,8.0,loss of appetite,pneumonia
goat,difficulty walking,102.2,loss of appetite,6.0,sores on hooves,foot and mouth
buffalo,depression,103.8,painless lumps,4.0,loss of appetite,lumpy virus
sheep,fatigue,104.9,chills,9.0,chest discomfort,anthrax
buffalo,depression,100.2,painless lumps,2.0,loss of appetite,lumpy virus
buffalo,depression,104.5,loss of appetite,4.0,painless lumps,lumpy virus
cow,loss of appetite,104.2,depression,6.0,painless lumps,pneumonia
sheep,difficulty walking,102.1,loss of appetite,8.0,sores on mouth,foot and mouth
goat,depression,103.0,loss of appetite,10.0,painless lumps,lumpy virus
cow,depression,102.1,painless lumps,2.0,loss of appetite,pneumonia
cow,shortness of breath,101.7,swelling in neck,6.0,fatigue,anthrax
sheep,sores on gums,101.2,loss of appetite,1.0,difficulty walking,foot and mouth
goat,chest discomfort,103.8,chills,10.0,shortness of breath,anthrax
buffalo,loss of appetite,104.4,depression,14.0,painless lumps,lumpy virus
sheep,painless lumps,103.4,depression,4.0,loss of appetite,pneumonia
buffalo,painless lumps,104.9,depression,2.0,loss of appetite,pneumonia
cow,chills,102.9,shortness of breath,1.0,fatigue,anthrax
cow,loss of appetite,104.3,crackling sound,7.0,swelling in muscle,blackleg
sheep,crackling sound,104.9,depression,9.0,difficulty walking,blackleg
cow,sweats,100.9,swelling in extremities,1.0,chest discomfort,anthrax
cow,blisters on tongue,103.2,difficulty walking,1.0,loss of appetite,foot and mouth
buffalo,fatigue,102.7,chills,13.0,swelling in extremities,anthrax
goat,lameness,102.0,depression,2.0,crackling sound,blackleg
sheep,depression,102.4,loss of appetite,6.0,painless lumps,pneumonia
goat,blisters on tongue,103.9,lameness,10.0,loss of appetite,foot and mouth
cow,chills,102.5,sweats,4.0,swelling in neck,anthrax
goat,loss of appetite,102.1,difficulty walking,3.0,sores on mouth,foot and mouth
buffalo,chills,104.0,swelling in extremities,10.0,chest discomfort,anthrax
sheep,depression,104.8,difficulty walking,10.0,crackling sound,blackleg
cow,lameness,100.1,loss of appetite,10.0,sores on hooves,foot and mouth
goat,painless lumps,102.6,loss of appetite,6.0,depression,pneumonia
sheep,painless lumps,100.5,loss of appetite,4.0,depression,lumpy virus
goat,sweats,103.1,chills,9.0,fatigue,anthrax
buffalo,difficulty walking,101.0,loss of appetite,3.0,swelling in muscle,blackleg
buffalo,sweats,104.6,swelling in abdomen,10.0,chest discomfort,anthrax
goat,sweats,103.6,swelling in abdomen,8.0,chills,anthrax
sheep,loss of appetite,102.9,painless lumps,10.0,depression,lumpy virus
sheep,swelling in muscle,100.4,crackling sound,3.0,lameness,blackleg
goat,painless lumps,104.6,loss of appetite,2.0,depression,lumpy virus
cow,lameness,100.8,swelling in muscle,15.0,depression,blackleg
sheep,depression,100.3,loss of appetite,8.0,painless lumps,lumpy virus
buffalo,depression,104.7,loss of appetite,7.0,painless lumps,pneumonia
goat,depression,101.4,crackling sound,7.0,lameness,blackleg
buffalo,crackling sound,100.1,depression,9.0,lameness,blackleg
sheep,loss of appetite,100.9,depression,5.0,painless lumps,lumpy virus
goat,swelling in muscle,101.2,depression,8.0,difficulty walking,blackleg
goat,loss of appetite,104.4,painless lumps,2.0,depression,lumpy virus
cow,painless lumps,100.5,loss of appetite,6.0,depression,pneumonia
sheep,loss of appetite,104.3,depression,5.0,painless lumps,lumpy virus
goat,loss of appetite,102.9,depression,3.0,painless lumps,lumpy virus
buffalo,fatigue,102.0,sweats,2.0,chest discomfort,anthrax
sheep,painless lumps,100.1,loss of appetite,3.0,depression,lumpy virus
cow,depression,102.8,difficulty walking,10.0,loss of appetite,blackleg
sheep,loss of appetite,100.4,painless lumps,9.0,depression,lumpy virus
sheep,depression,101.6,painless lumps,5.0,loss of appetite,pneumonia
goat,fatigue,102.6,chest discomfort,4.0,sweats,anthrax
goat,crackling sound,100.9,swelling in limb,3.0,depression,blackleg
sheep,swelling in extremities,100.6,chills,3.0,shortness of breath,anthrax
cow,loss of appetite,100.1,sores on hooves,12.0,difficulty walking,foot and mouth
goat,chills,102.1,chest discomfort,7.0,swelling in abdomen,anthrax
goat,loss of appetite,100.3,blisters on hooves,6.0,difficulty walking,foot and mouth
buffalo,shortness of breath,100.7,sweats,9.0,swelling in neck,anthrax
cow,lameness,100.8,crackling sound,10.0,swelling in muscle,blackleg
sheep,chills,100.0,chest discomfort,4.0,shortness of breath,anthrax
sheep,depression,100.3,loss of appetite,5.0,swelling in muscle,blackleg
cow,sores on mouth,103.3,loss of appetite,3.0,lameness,foot and mouth
goat,painless lumps,104.5,loss of appetite,7.0,depression,pneumonia
sheep,difficulty walking,105.0,loss of appetite,8.0,blisters on mouth,foot and mouth
goat,painless lumps,104.0,loss of appetite,9.0,depression,pneumonia
goat,loss of appetite,100.6,difficulty walking,7.0,sores on tongue,foot and mouth
sheep,lameness,102.2,blisters on mouth,5.0,loss of appetite,foot and mouth
goat,chest discomfort,102.1,shortness of breath,7.0,chills,anthrax
buffalo,loss of appetite,103.0,lameness,15.0,sores on gums,foot and mouth
goat,difficulty walking,102.4,swelling in muscle,6.0,crackling sound,blackleg
buffalo,loss of appetite,104.2,painless lumps,15.0,depression,pneumonia
sheep,blisters on mouth,100.6,difficulty walking,10.0,loss of appetite,foot and mouth
cow,loss of appetite,100.1,depression,3.0,painless lumps,pneumonia
buffalo,chills,102.8,sweats,13.0,chest discomfort,anthrax
cow,depression,103.4,painless lumps,11.0,loss of appetite,pneumonia
sheep,depression,105.0,loss of appetite,5.0,painless lumps,lumpy virus
sheep,loss of appetite,100.1,sores on tongue,4.0,difficulty walking,foot and mouth
sheep,chills,102.0,chest discomfort,2.0,swelling in neck,anthrax
cow,swelling in extremities,101.1,chills,5.0,shortness of breath,anthrax
goat,crackling sound,102.5,depression,3.0,swelling in muscle,blackleg
goat,loss of appetite,102.5,lameness,5.0,blisters on tongue,foot and mouth
buffalo,swelling in abdomen,104.1,chills,9.0,sweats,anthrax
goat,depression,102.9,painless lumps,1.0,loss of appetite,pneumonia
sheep,lameness,104.2,blisters on hooves,5.0,loss of appetite,foot and mouth
buffalo,loss of appetite,101.4,depression,3.0,painless lumps,pneumonia
cow,shortness of breath,102.8,swelling in abdomen,1.0,chills,anthrax
goat,depression,100.2,loss of appetite,6.0,painless lumps,lumpy virus
buffalo,painless lumps,105.0,loss of appetite,6.0,depression,pneumonia
buffalo,loss of appetite,102.5,lameness,1.0,blisters on hooves,foot and mouth
goat,swelling in muscle,102.6,difficulty walking,10.0,depression,blackleg
goat,painless lumps,100.1,loss of appetite,3.0,depression,pneumonia
goat,lameness,101.6,sores on hooves,8.0,loss of appetite,foot and mouth
buffalo,swelling in limb,101.8,loss of appetite,3.0,difficulty walking,blackleg
goat,difficulty walking,102.8,loss of appetite,1.0,swelling in muscle,blackleg
sheep,loss of appetite,103.8,blisters on hooves,8.0,lameness,foot and mouth
sheep,painless lumps,100.4,loss of appetite,7.0,depression,pneumonia
goat,shortness of breath,102.2,chest discomfort,7.0,swelling in abdomen,anthrax
goat,sweats,101.1,shortness of breath,7.0,chills,anthrax
goat,lameness,100.9,swelling in muscle,4.0,depression,blackleg
sheep,depression,102.5,loss of appetite,9.0,painless lumps,pneumonia
sheep,sores on tongue,100.2,lameness,3.0,loss of appetite,foot and mouth
sheep,painless lumps,101.5,loss of appetite,3.0,depression,lumpy virus
buffalo,swelling in extremities,103.9,shortness of breath,3.0,fatigue,anthrax
sheep,painless lumps,100.2,loss of appetite,7.0,depression,lumpy virus
sheep,depression,100.3,loss of appetite,6.0,painless lumps,lumpy virus
goat,sores on tongue,100.8,difficulty walking,5.0,loss of appetite,foot and mouth
sheep,swelling in limb,102.6,loss of appetite,9.0,crackling sound,blackleg
sheep,swelling in neck,103.0,chest discomfort,8.0,sweats,anthrax
goat,blisters on tongue,102.4,lameness,2.0,loss of appetite,foot and mouth
sheep,loss of appetite,102.3,difficulty walking,5.0,blisters on tongue,foot and mouth
buffalo,swelling in extremities,103.7,fatigue,2.0,shortness of breath,anthrax
sheep,chills,102.1,swelling in neck,2.0,fatigue,anthrax
cow,painless lumps,103.6,loss of appetite,13.0,depression,lumpy virus
cow,painless lumps,103.9,loss of appetite,3.0,depression,pneumonia
cow,loss of appetite,104.8,painless lumps,15.0,depression,lumpy virus
goat,depression,104.5,loss of appetite,6.0,painless lumps,lumpy virus
cow,sweats,103.9,chest discomfort,14.0,shortness of breath,anthrax
sheep,painless lumps,100.1,depression,7.0,loss of appetite,pneumonia
sheep,painless lumps,101.0,depression,3.0,loss of appetite,lumpy virus
goat,chills,101.7,shortness of breath,6.0,fatigue,anthrax
goat,depression,102.3,loss of appetite,10.0,painless lumps,lumpy virus
sheep,swelling in neck,101.9,chest discomfort,8.0,sweats,anthrax
buffalo,sweats,101.0,chills,8.0,chest discomfort,anthrax
sheep,difficulty walking,104.3,sores on gums,6.0,loss of appetite,foot and mouth
buffalo,loss of appetite,100.7,sores on mouth,13.0,difficulty walking,foot and mouth
buffalo,swelling in extremities,102.4,fatigue,14.0,chills,anthrax
buffalo,depression,101.7,painless lumps,14.0,loss of appetite,pneumonia
sheep,depression,104.4,loss of appetite,7.0,painless lumps,lumpy virus
sheep,fatigue,101.5,swelling in neck,3.0,shortness of breath,anthrax
buffalo,painless lumps,100.3,depression,1.0,loss of appetite,lumpy virus
goat,loss of appetite,103.6,depression,4.0,painless lumps,lumpy virus
goat,depression,102.7,loss of appetite,8.0,lameness,blackleg
goat,sores on hooves,100.9,loss of appetite,1.0,lameness,foot and mouth
buffalo,swelling in limb,103.4,loss of appetite,4.0,crackling sound,blackleg
buffalo,depression,100.3,loss of appetite,15.0,painless lumps,lumpy virus
goat,loss of appetite,100.2,depression,10.0,painless lumps,pneumonia
cow,loss of appetite,103.4,lameness,12.0,blisters on gums,foot and mouth
buffalo,depression,104.3,painless lumps,14.0,loss of appetite,lumpy virus
goat,painless lumps,100.8,loss of appetite,1.0,depression,pneumonia
goat,chills,103.5,shortness of breath,7.0,sweats,anthrax
goat,depression,100.1,painless lumps,3.0,loss of appetite,pneumonia
buffalo,sweats,101.9,chest discomfort,13.0,shortness of breath,anthrax
cow,sweats,101.8,swelling in extremities,1.0,fatigue,anthrax
cow,swelling in extremities,102.5,chills,9.0,sweats,anthrax
buffalo,loss of appetite,102.1,lameness,14.0,sores on tongue,foot and mouth
sheep,difficulty walking,104.9,loss of appetite,9.0,sores on gums,foot and mouth
goat,painless lumps,103.4,depression,1.0,loss of appetite,pneumonia
cow,depression,104.3,crackling sound,5.0,loss of appetite,blackleg
sheep,chills,100.0,chest discomfort,5.0,swelling in extremities,anthrax
buffalo,depression,104.0,crackling sound,7.0,swelling in limb,blackleg
cow,swelling in limb,104.2,lameness,1.0,crackling sound,blackleg
goat,swelling in neck,104.5,shortness of breath,1.0,sweats,anthrax
goat,painless lumps,102.3,loss of appetite,7.0,depression,pneumonia
buffalo,shortness of breath,101.6,sweats,11.0,chills,anthrax
cow,difficulty walking,104.6,swelling in muscle,15.0,depression,blackleg
buffalo,crackling sound,100.5,depression,3.0,loss of appetite,blackleg
goat,sweats,102.7,swelling in abdomen,3.0,fatigue,anthrax
buffalo,blisters on gums,103.6,lameness,7.0,loss of appetite,foot and mouth
cow,sores on gums,100.3,lameness,6.0,loss of appetite,foot and mouth
sheep,depression,102.8,painless lumps,2.0,loss of appetite,lumpy virus
sheep,difficulty walking,104.1,sores on mouth,2.0,loss of appetite,foot and mouth
goat,sweats,104.8,chest discomfort,3.0,fatigue,anthrax
cow,fatigue,100.2,sweats,15.0,chills,anthrax
sheep,blisters on mouth,102.5,lameness,2.0,loss of appetite,foot and mouth
goat,fatigue,100.8,swelling in abdomen,1.0,sweats,anthrax
buffalo,painless lumps,100.1,depression,14.0,loss of appetite,pneumonia
goat,painless lumps,102.0,depression,7.0,loss of appetite,lumpy virus
cow,sweats,101.3,swelling in abdomen,14.0,chills,anthrax
cow,loss of appetite,100.4,depression,7.0,painless lumps,lumpy virus
goat,painless lumps,100.2,loss of appetite,2.0,depression,lumpy virus
buffalo,painless lumps,100.4,loss of appetite,15.0,depression,lumpy virus
buffalo,loss of appetite,101.6,depression,1.0,painless lumps,pneumonia
cow,chest discomfort,101.4,fatigue,10.0,shortness of breath,anthrax
goat,loss of appetite,104.6,difficulty walking,2.0,crackling sound,blackleg
cow,chills,104.2,fatigue,3.0,shortness of breath,anthrax
buffalo,swelling in muscle,102.0,loss of appetite,11.0,lameness,blackleg
cow,sweats,102.6,chills,13.0,swelling in abdomen,anthrax
cow,shortness of breath,102.6,sweats,6.0,chest discomfort,anthrax
cow,loss of appetite,104.5,lameness,3.0,crackling sound,blackleg
sheep,painless lumps,101.2,loss of appetite,6.0,depression,pneumonia
sheep,chills,100.8,chest discomfort,2.0,sweats,anthrax
buffalo,sweats,101.5,shortness of breath,6.0,chest discomfort,anthrax
goat,swelling in neck,101.8,shortness of breath,6.0,sweats,anthrax
sheep,loss of appetite,104.5,painless lumps,1.0,depression,lumpy virus
goat,loss of appetite,101.4,blisters on hooves,7.0,lameness,foot and mouth
buffalo,loss of appetite,105.0,depression,1.0,painless lumps,lumpy virus
cow,painless lumps,104.7,loss of appetite,13.0,depression,pneumonia
goat,shortness of breath,100.1,swelling in abdomen,5.0,fatigue,anthrax
goat,loss of appetite,101.7,depression,9.0,painless lumps,pneumonia
buffalo,difficulty walking,100.4,loss of appetite,6.0,blisters on hooves,foot and mouth
buffalo,loss of appetite,104.4,painless lumps,5.0,depression,pneumonia
sheep,sweats,101.2,swelling in extremities,6.0,chest discomfort,anthrax
sheep,loss of appetite,103.7,depression,3.0,painless lumps,pneumonia
cow,loss of appetite,104.1,lameness,5.0,swelling in muscle,blackleg
sheep,difficulty walking,104.7,sores on tongue,7.0,loss of appetite,foot and mouth
buffalo,depression,104.6,painless lumps,5.0,loss of appetite,pneumonia
cow,sweats,102.4,chest discomfort,6.0,chills,anthrax
sheep,painless lumps,103.5,loss of appetite,7.0,depression,lumpy virus
goat,sores on gums,102.3,difficulty walking,2.0,loss of appetite,foot and mouth
buffalo,loss of appetite,103.0,lameness,6.0,sores on tongue,foot and mouth
goat,difficulty walking,104.8,swelling in muscle,10.0,loss of appetite,blackleg
cow,crackling sound,103.2,loss of appetite,5.0,swelling in limb,blackleg
cow,loss of appetite,102.7,depression,2.0,lameness,blackleg
sheep,swelling in neck,104.9,shortness of breath,9.0,chills,anthrax
buffalo,depression,100.5,painless lumps,2.0,loss of appetite,lumpy virus
goat,chest discomfort,103.2,fatigue,9.0,shortness of breath,anthrax
cow,difficulty walking,103.7,crackling sound,5.0,depression,blackleg
buffalo,blisters on tongue,100.4,difficulty walking,8.0,loss of appetite,foot and mouth
buffalo,depression,103.8,painless lumps,15.0,loss of appetite,lumpy virus
buffalo,loss of appetite,101.8,crackling sound,3.0,difficulty walking,blackleg
goat,depression,102.9,loss of appetite,7.0,crackling sound,blackleg
sheep,swelling in neck,100.3,chest discomfort,9.0,shortness of breath,anthrax
cow,depression,103.7,lameness,13.0,loss of appetite,blackleg
cow,shortness of breath,101.1,swelling in extremities,10.0,sweats,anthrax
buffalo,difficulty walking,100.5,swelling in muscle,6.0,depression,blackleg
goat,lameness,103.3,depression,4.0,loss of appetite,blackleg
cow,depression,103.6,painless lumps,5.0,loss of appetite,lumpy virus
cow,swelling in extremities,101.7,chills,11.0,chest discomfort,anthrax
sheep,lameness,102.3,swelling in limb,1.0,depression,blackleg
sheep,chills,101.8,fatigue,4.0,swelling in neck,anthrax
goat,sores on mouth,100.3,loss of appetite,2.0,difficulty walking,foot and mouth
cow,sweats,101.4,chills,12.0,shortness of breath,anthrax
buffalo,painless lumps,103.8,loss of appetite,5.0,depression,pneumonia
goat,difficulty walking,100.2,loss of appetite,3.0,sores on mouth,foot and mouth
sheep,depression,102.8,swelling in muscle,10.0,loss of appetite,blackleg
goat,fatigue,103.8,sweats,1.0,swelling in neck,anthrax
buffalo,difficulty walking,101.5,loss of appetite,13.0,blisters on tongue,foot and mouth
goat,depression,100.2,painless lumps,3.0,loss of appetite,pneumonia
cow,loss of appetite,103.4,lameness,6.0,sores on mouth,foot and mouth
buffalo,chest discomfort,101.8,swelling in extremities,14.0,fatigue,anthrax
sheep,depression,101.4,painless lumps,7.0,loss of appetite,pneumonia
buffalo,swelling in muscle,104.8,loss of appetite,11.0,difficulty walking,blackleg
buffalo,shortness of breath,100.4,sweats,12.0,chills,anthrax
goat,depression,104.9,painless lumps,8.0,loss of appetite,pneumonia
cow,loss of appetite,101.1,crackling sound,6.0,lameness,blackleg
buffalo,chills,102.6,fatigue,13.0,chest discomfort,anthrax
goat,depression,100.2,painless lumps,10.0,loss of appetite,lumpy virus
buffalo,sores on hooves,101.0,difficulty walking,11.0,loss of appetite,foot and mouth
buffalo,depression,103.8,lameness,4.0,crackling sound,blackleg
buffalo,chills,101.8,chest discomfort,3.0,fatigue,anthrax
buffalo,chest discomfort,104.0,chills,14.0,sweats,anthrax
goat,sores on hooves,100.9,lameness,5.0,loss of appetite,foot and mouth
cow,depression,104.7,loss of appetite,12.0,lameness,blackleg
buffalo,crackling sound,103.7,swelling in limb,11.0,loss of appetite,blackleg
buffalo,difficulty walking,100.2,blisters on gums,5.0,loss of appetite,foot and mouth
sheep,swelling in abdomen,100.5,sweats,5.0,chills,anthrax
buffalo,loss of appetite,102.7,blisters on hooves,1.0,difficulty walking,foot and mouth
buffalo,fatigue,102.3,shortness of breath,4.0,sweats,anthrax
buffalo,sweats,104.1,shortness of breath,1.0,swelling in neck,anthrax
cow,chills,100.1,fatigue,14.0,swelling in abdomen,anthrax
sheep,crackling sound,100.3,depression,2.0,lameness,blackleg
sheep,sweats,101.0,swelling in abdomen,4.0,fatigue,anthrax
sheep,depression,103.0,loss of appetite,2.0,painless lumps,pneumonia
cow,depression,100.9,swelling in limb,8.0,difficulty walking,blackleg
goat,shortness of breath,103.4,sweats,1.0,chest discomfort,anthrax
buffalo,depression,103.2,painless lumps,4.0,loss of appetite,pneumonia
buffalo,lameness,102.8,sores on mouth,14.0,loss of appetite,foot and mouth
buffalo,depression,102.9,loss of appetite,3.0,painless lumps,pneumonia
buffalo,loss of appetite,104.1,lameness,11.0,crackling sound,blackleg
sheep,depression,100.9,loss of appetite,4.0,painless lumps,pneumonia
buffalo,painless lumps,104.8,loss of appetite,4.0,depression,lumpy virus
goat,sweats,102.8,chills,3.0,chest discomfort,anthrax
buffalo,depression,101.3,difficulty walking,7.0,swelling in limb,blackleg
buffalo,painless lumps,100.5,depression,14.0,loss of appetite,lumpy virus
buffalo,difficulty walking,100.9,crackling sound,2.0,depression,blackleg
cow,depression,104.2,crackling sound,10.0,difficulty walking,blackleg
goat,loss of appetite,103.1,depression,2.0,painless lumps,pneumonia
cow,swelling in muscle,103.6,crackling sound,9.0,loss of appetite,blackleg
sheep,depression,100.4,painless lumps,5.0,loss of appetite,pneumonia
cow,crackling sound,102.7,loss of appetite,3.0,swelling in muscle,blackleg
buffalo,chest discomfort,103.1,sweats,12.0,fatigue,anthrax
buffalo,lameness,104.5,loss of appetite,10.0,blisters on gums,foot and mouth
buffalo,crackling sound,102.3,swelling in muscle,10.0,lameness,blackleg
sheep,loss of appetite,104.6,difficulty walking,4.0,crackling sound,blackleg
buffalo,depression,102.6,loss of appetite,12.0,swelling in limb,blackleg
cow,loss of appetite,101.7,lameness,5.0,blisters on gums,foot and mouth
cow,loss of appetite,104.1,painless lumps,14.0,depression,pneumonia
cow,lameness,100.6,sores on gums,4.0,loss of appetite,foot and mouth
goat,sores on mouth,101.9,loss of appetite,10.0,difficulty walking,foot and mouth
sheep,sweats,103.3,chest discomfort,2.0,swelling in neck,anthrax
goat,loss of appetite,100.9,painless lumps,5.0,depression,lumpy virus
cow,painless lumps,102.0,depression,12.0,loss of appetite,lumpy virus
cow,sweats,102.2,chest discomfort,7.0,shortness of breath,anthrax
sheep,crackling sound,103.9,lameness,10.0,depression,blackleg
buffalo,lameness,101.2,sores on tongue,10.0,loss of appetite,foot and mouth
buffalo,loss of appetite,100.3,painless lumps,4.0,depression,pneumonia
goat,painless lumps,101.9,loss of appetite,3.0,depression,lumpy virus
sheep,chest discomfort,102.5,chills,5.0,fatigue,anthrax
cow,shortness of breath,102.9,chills,5.0,fatigue,anthrax
cow,depression,101.6,swelling in limb,11.0,crackling sound,blackleg
buffalo,difficulty walking,104.1,loss of appetite,6.0,sores on mouth,foot and mouth
buffalo,loss of appetite,102.0,sores on gums,13.0,difficulty walking,foot and mouth
sheep,depression,101.4,loss of appetite,5.0,painless lumps,pneumonia
cow,painless lumps,103.9,depression,4.0,loss of appetite,pneumonia
buffalo,swelling in neck,101.5,shortness of breath,7.0,fatigue,anthrax
sheep,loss of appetite,102.3,difficulty walking,8.0,sores on tongue,foot and mouth
cow,chills,102.0,chest discomfort,2.0,shortness of breath,anthrax
goat,depression,100.3,loss of appetite,10.0,painless lumps,pneumonia
buffalo,loss of appetite,104.4,lameness,7.0,crackling sound,blackleg
buffalo,depression,103.3,painless lumps,1.0,loss of appetite,pneumonia
buffalo,loss of appetite,103.2,crackling sound,8.0,lameness,blackleg
buffalo,swelling in abdomen,104.0,sweats,15.0,shortness of breath,anthrax
sheep,chills,100.1,fatigue,2.0,shortness of breath,anthrax
buffalo,depression,100.0,loss of appetite,2.0,lameness,blackleg
cow,painless lumps,100.7,depression,11.0,loss of appetite,lumpy virus
buffalo,difficulty walking,104.2,loss of appetite,3.0,sores on tongue,foot and mouth
sheep,blisters on mouth,103.1,loss of appetite,2.0,difficulty walking,foot and mouth
buffalo,chest discomfort,100.4,chills,8.0,sweats,anthrax
buffalo,swelling in limb,102.3,depression,1.0,loss of appetite,blackleg
sheep,loss of appetite,102.9,swelling in limb,8.0,depression,blackleg
cow,swelling in neck,104.5,chills,5.0,chest discomfort,anthrax
cow,loss of appetite,102.0,difficulty walking,2.0,sores on tongue,foot and mouth
cow,chills,102.1,sweats,15.0,fatigue,anthrax
cow,depression,100.4,loss of appetite,4.0,painless lumps,pneumonia
cow,blisters on gums,100.6,difficulty walking,10.0,loss of appetite,foot and mouth
cow,fatigue,101.8,chills,7.0,swelling in abdomen,anthrax
sheep,difficulty walking,102.2,loss of appetite,10.0,sores on mouth,foot and mouth
cow,swelling in abdomen,101.3,shortness of breath,14.0,chest discomfort,anthrax
sheep,loss of appetite,101.8,painless lumps,3.0,depression,pneumonia
cow,chest discomfort,103.7,shortness of breath,4.0,fatigue,anthrax
goat,chest discomfort,103.4,fatigue,3.0,sweats,anthrax
buffalo,painless lumps,101.3,loss of appetite,4.0,depression,pneumonia
cow,lameness,104.2,loss of appetite,10.0,sores on hooves,foot and mouth
goat,depression,102.7,loss of appetite,3.0,painless lumps,lumpy virus
sheep,swelling in muscle,101.6,crackling sound,5.0,depression,blackleg
cow,difficulty walking,102.6,sores on gums,12.0,loss of appetite,foot and mouth
cow,swelling in abdomen,103.7,sweats,9.0,fatigue,anthrax
goat,loss of appetite,104.6,blisters on hooves,8.0,difficulty walking,foot and mouth
goat,difficulty walking,102.3,depression,9.0,crackling sound,blackleg
cow,loss of appetite,100.1,blisters on gums,15.0,lameness,foot and mouth
sheep,crackling sound,102.6,depression,1.0,lameness,blackleg
